Year_BS,Year_AD,English_Name,Category,Status
2049,1992,Trade Union Act,Labour,In force
2049,1992,Foreign Investment and Technology Transfer Act,Economy,Repealed
2049,1992,Nepal Petroleum Initiative Act,Energy,In force
2049,1992,Aquatic Animal Protection Act,Environment,In force
2049,1992,Cooperatives Act,Cooperatives,Repealed
2050,1993,Nepal Agency Act,Economy,In force
2050,1993,Industrial Trainee Training Act,Labour,In force
2050,1993,Nepal Press Council Act,Communication,In force
2051,1994,Pension Fund Act,Labour,In force
2051,1994,Salt Trading Corporation Conversion Act,Economy,In force
2052,1995,Public Debt Act,Economy,In force
2052,1996,Election Commission Act,Election,Repealed
2052,1996,Value Added Tax Act,Economy,In force
2052,1996,Postal Service Act,Communication,In force
2053,1996,Environment Protection Act,Environment,Repealed
2053,1997,Nepal Health Professional Council Act,Professional,In force
2053,1997,National Human Rights Commission Act (early),Civil Liberties,Repealed
2053,1996,Telecommunications Act,Communication,In force
2053,1996,Nepal Veterinary Council Act,Professional,In force
2053,1996,Mines and Minerals Act,Industry,In force
2054,1997,Tourism Service Fee Act,Tourism,In force
2054,1997,Black-marketing Act Amendment,Economy,In force
2055,1998,Nepal Health Service Act,Health,In force
2055,1999,Civil Aviation Authority Act,Transport,In force
2055,1999,Local Self-Governance Act,Local Governance,Repealed
2055,1999,Excise Duty Act,Economy,In force
2055,1998,Good Governance (Management and Operation) Act (early),Administration,Repealed
2055,1999,Pesticides Act,Agriculture,Repealed
2055,1999,Money Laundering (Initial concept) Act,Economy,Repealed
2056,1999,Public Security Act,Defence/Public Order,In force
2056,2000,Contract Act,Economy,Repealed
2056,2000,Drug (Trafficking) Control Act,Defence/Public Order,In force
2056,1999,Local Election Act,Election,Repealed
2056,2000,Bonus Amendment Act,Labour,In force
2057,2001,Telecommunications Regulation Amendment Act,Communication,In force
2057,2001,Insurance Act,Economy,In force
2058,2001,Armed Police Force Act,Defence/Public Order,In force
2058,2002,Income Tax Act,Economy,In force
2058,2002,Customs Act,Economy,In force
2058,2002,Nepal Rastra Bank Act,Economy,In force
2058,2001,Money Laundering Prevention Act (early),Economy,Repealed
2058,2002,Some Nepal Acts (Amendment) Act,Administration,In force
2059,2002,Copyright Act,IP/Industry,In force
2059,2002,Prevention of Corruption Act,Anti-Corruption,In force
2059,2002,Prevention and Punishment of Terrorist Activities Act,Defence/Public Order,Lapsed
2060,2003,Insolvency Act (early),Economy,Repealed
2061,2004,Electronic Transactions Act,Digital/IT,In force
2062,2005,Banking and Financial Institutions Ordinance,Economy,Replaced
2063,2006,Companies Act,Economy,In force
2063,2006,Insolvency Act,Economy,In force
2063,2006,Securities Act,Economy,In force
2063,2007,Public Procurement Act,Economy,In force
2063,2007,Interim Constitution of Nepal,Constitutional,Repealed
2063,2007,Army Act (Nepal Army Act),Defence/Public Order,In force
2063,2006,Supreme Court Act,Procedural,In force
2063,2006,Nepal Citizenship Act,Civil Liberties,In force
2063,2007,Nepal Law Commission Act,Administration,In force
2063,2006,Mines and Minerals Amendment Act,Industry,In force
2063,2007,Standards (Nepal) Act,Industry,Repealed
2064,2007,Right to Information Act,Civil Liberties,In force
2064,2007,Foreign Employment Act,Labour,In force
2064,2007,Human Trafficking and Transportation (Control) Act,Civil Liberties,In force
2064,2007,Constituent Assembly Member Election Act,Election,Repealed
2064,2007,Education (Eighth Amendment) Act,Education,In force
2065,2008,Constituent Assembly Court Act,Procedural,Repealed
2066,2009,Domestic Violence (Offence and Punishment) Act,Civil Liberties,In force
2067,2011,Tobacco Product (Control and Regulation) Act,Health,In force
2067,2010,Civil Service Amendment Act,Administration,In force
2068,2011,National Human Rights Commission Act,Civil Liberties,In force
2068,2011,Solid Waste Management Act,Environment,In force
2068,2011,Special Economic Zone Authority (early),Economy,Repealed
2068,2011,Safe Motherhood and Reproductive Health Act (early),Health,Repealed
2069,2012,Nepal Trust Act,Economy,In force
2069,2013,Anti-Money Laundering Act (ALPA),Economy,In force
2069,2012,Mutual Legal Assistance Act (early),International,Repealed
2070,2014,Extradition Act,International,In force
2070,2013,Nepal Bar Council Amendment Act,Professional,In force
2071,2014,Truth and Reconciliation Commission Act,Transitional Justice,In force
2071,2014,Investigation of Enforced Disappearances Act,Transitional Justice,In force
2071,2014,Sexual Harassment at Workplace (Prevention) Act,Civil Liberties,In force
2071,2014,Mutual Legal Assistance Act,International,In force
2071,2015,Nepal Engineering Council (Amendment) Act,Professional,In force
2072,2015,Constitution of Nepal,Constitutional,In force
2072,2015,Caste-Based Discrimination and Untouchability (Offence and Punishment) Amendment Act,Civil Liberties,In force
2073,2016,Special Economic Zone Act,Economy,In force
2073,2017,Banks and Financial Institutions Act,Economy,In force
2073,2017,Local Level Election Act,Election,In force
2073,2017,House of Representatives Election Act,Election,In force
2073,2017,National Assembly Election Act,Election,In force
2073,2017,Election Commission Act,Election,In force
2073,2016,Disaster Risk Reduction and Management Act,Public Order,In force
2074,2017,National Civil Code (Muluki Dewani Samhita),Civil Code,In force
2074,2017,National Civil Procedure Code,Procedural,In force
2074,2017,National Penal Code (Muluki Apradh Samhita),Criminal Code,In force
2074,2017,National Criminal Procedure Code,Procedural,In force
2074,2017,Criminal Offences (Sentencing and Execution) Act,Criminal Code,In force
2074,2017,Labour Act,Labour,In force
2074,2017,Contribution-Based Social Security Act,Labour/Welfare,In force
2074,2017,Local Government Operation Act,Local Governance,In force
2074,2017,Inter-Governmental Fiscal Arrangement Act,Local Governance,In force
2074,2017,National Natural Resources and Fiscal Commission Act,Local Governance,In force
2074,2017,Federal Parliament Secretariat Act,Administration,In force
2074,2017,Cooperatives Act,Cooperatives,In force
2074,2017,Senior Citizens Act,Civil Liberties/Welfare,In force
2074,2017,Caste-Based Discrimination and Untouchability Act,Civil Liberties,In force
2074,2017,Public-Private Partnership and Investment Act,Economy,In force
2074,2017,Political Parties Act,Election,In force
2074,2017,Voter Roll Act,Election,In force
2074,2018,Act Relating to Children,Civil Liberties/Welfare,In force
2074,2018,Disability Rights Act,Civil Liberties,In force
2075,2018,Privacy Act,Civil Liberties,In force
2075,2018,Right to Employment Act,Labour,In force
2075,2018,Right to Food and Food Sovereignty Act,Civil Liberties,In force
2075,2018,Compulsory and Free Education Act,Education,In force
2075,2018,Public Health Service Act,Health,In force
2075,2018,Right to Safe Motherhood and Reproductive Health Act,Health,In force
2075,2018,Right to Housing Act,Civil Liberties,In force
2075,2018,Consumer Protection Act,Economy,In force
2075,2019,Foreign Investment and Technology Transfer Act,Economy,In force
2075,2018,Nepal Special Service Amendment Act,Defence/Public Order,In force
2075,2019,Federal Civil Service Bill / Provincial Civil Service Acts,Administration,In force
2076,2019,Land Use Act,Land,In force
2076,2019,Forest Act,Environment,In force
2076,2019,Environment Protection Act,Environment,In force
2076,2019,Pesticide Management Act,Agriculture,In force
2076,2020,Industrial Enterprises Act,Industry,In force
2076,2020,Public Health (Service Delivery) Amendment Act,Health,In force
2077,2020,COVID-19 Crisis Management Ordinance,Health,Lapsed
2077,2020,Media Council Bill,Communication,Pending
2078,2021,Citizenship (Amendment) Bill,Civil Liberties,Enacted 2023
2078,2022,Information Technology Bill,Digital/IT,Pending
2079,2022,Federal Civil Service Act (revised draft),Administration,Pending
2079,2023,Nepal Citizenship (Amendment) Act,Civil Liberties,In force
2080,2023,Truth and Reconciliation Commission (Third Amendment) Act,Transitional Justice,In force
2080,2024,Social Media Bill / Directives,Digital/IT,Pending
2081,2024,Investment Climate Reform Act (Omnibus),Economy,In force
